bucket,datetime,trade_count,size_sum,amount_sum,vwap,avg_trade_size,max_trade_size,midpoint,midpoint_return,abs_midpoint_return,spread,spread_pct,bid_depth_top5,ask_depth_top5,total_depth,depth_change,depth_imbalance,depth_drop,abs_depth_imbalance,z_trade_count,z_amount_sum,z_avg_trade_size,z_spread,z_depth_drop,z_abs_midpoint_return,z_abs_depth_imbalance,activity_score,liquidity_score,price_dislocation_score,stress_score,is_stress_anomaly,market_file,market_stem
1770933360,2026-02-12 21:56:00,1,1400.0,4.2,0.0029999999999978572,4.2,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,-1.620030257573983,-1.5546586295959148,0.0,0.0,0.0,0.0,-3.4397135940145525,0.0,0.0,-3.4397135940145525,False,1303357_YES.csv,1303357_YES
1770933960,2026-02-12 22:06:00,1,302.0,0.604,0.0019999999999933773,0.604,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,-1.6451930152019982,-1.5810875217630853,0.0,0.0,0.0,0.0,-3.4913052438097383,0.0,0.0,-3.4913052438097383,False,1303357_YES.csv,1303357_YES
1770934080,2026-02-12 22:08:00,1,2043.333333,6.13,0.003000000000487832,6.13,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,-1.5808687864235502,-1.5161424826850285,0.0,0.0,0.0,0.0,-3.3620359759532334,0.0,0.0,-3.3620359759532334,False,1303357_YES.csv,1303357_YES
1770935340,2026-02-12 22:29:00,1,2.0,0.004,0.001999999999,0.004,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.22749590318269994,-1.58664539007627,-1.5413026440986484,0.0,0.0,0.0,0.0,-3.3554439373576184,0.0,0.0,-3.3554439373576184,False,1303357_YES.csv,1303357_YES
1770936660,2026-02-12 22:51:00,1,50.0,0.15,0.00299999999994,0.15,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.22749590318269994,-1.5220217701245915,-1.4799202111533138,0.0,0.0,0.0,0.0,-3.229437884460605,0.0,0.0,-3.229437884460605,False,1303357_YES.csv,1303357_YES
1770936780,2026-02-12 22:53:00,1,50.0,0.15,0.00299999999994,0.15,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.1841413749731758,-1.4635006398798804,-1.4367501639550895,0.0,0.0,0.0,0.0,-3.0843921788081454,0.0,0.0,-3.0843921788081454,False,1303357_YES.csv,1303357_YES
1770937080,2026-02-12 22:58:00,1,50.0,0.15,0.00299999999994,0.15,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.1841413749731758,-1.4087910095125933,-1.383740554725016,0.0,0.0,0.0,0.0,-2.976672939210785,0.0,0.0,-2.976672939210785,False,1303357_YES.csv,1303357_YES
1770940920,2026-02-13 00:02:00,1,1082.67,3.2480100000000003,0.0029999999999972293,3.2480100000000003,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.1841413749731758,-1.3243592858070354,-1.3004795771027609,0.0,0.0,0.0,0.0,-2.808980237882972,0.0,0.0,-2.808980237882972,False,1303357_YES.csv,1303357_YES
1770942840,2026-02-13 00:34:00,1,1082.67,2.16534,0.0019999999999981526,2.16534,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.1841413749731758,-1.292884040462007,-1.2700342643449012,0.0,0.0,0.0,0.0,-2.747059679780084,0.0,0.0,-2.747059679780084,False,1303357_YES.csv,1303357_YES
1770945000,2026-02-13 01:10:00,1,20.83,0.06249,0.0029999999998559772,0.06249,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.1841413749731758,-1.269908261485743,-1.2484588323726358,0.0,0.0,0.0,0.0,-2.702508468831555,0.0,0.0,-2.702508468831555,False,1303357_YES.csv,1303357_YES
1770945120,2026-02-13 01:12:00,1,20.83,0.06249,0.0029999999998559772,0.06249,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.1841413749731758,-1.226087605269225,-1.2057208369555565,0.0,0.0,0.0,0.0,-2.615949817197957,0.0,0.0,-2.615949817197957,False,1303357_YES.csv,1303357_YES
1770945180,2026-02-13 01:13:00,1,20.83,0.06249,0.0029999999998559772,0.06249,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.1841413749731758,-1.184378445829933,-1.164980579332071,0.0,0.0,0.0,0.0,-2.5335004001351797,0.0,0.0,-2.5335004001351797,False,1303357_YES.csv,1303357_YES
1770948360,2026-02-13 02:06:00,1,176.3,0.5289,0.0029999999999829837,0.5289,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.1841413749731758,-1.1397471565743946,-1.1211491606647328,0.0,0.0,0.0,0.0,-2.445037692212303,0.0,0.0,-2.445037692212303,False,1303357_YES.csv,1303357_YES
1770948420,2026-02-13 02:07:00,1,119.0,0.357,0.0029999999999747898,0.357,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.1841413749731758,-1.103597146885739,-1.0857848084316484,0.0,0.0,0.0,0.0,-2.3735233302905634,0.0,0.0,-2.3735233302905634,False,1303357_YES.csv,1303357_YES
1770948540,2026-02-13 02:09:00,1,110.1,0.3303,0.002999999999972752,0.3303,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.1841413749731758,-1.0674099255505674,-1.0503160575261534,0.0,0.0,0.0,0.0,-2.3018673580498965,0.0,0.0,-2.3018673580498965,False,1303357_YES.csv,1303357_YES
1770948600,2026-02-13 02:10:00,1,101.9,0.3057,0.002999999999970559,0.3057,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.1841413749731758,-1.0325549225681432,-1.016096926160367,0.0,0.0,0.0,0.0,-2.2327932237016856,0.0,0.0,-2.2327932237016856,False,1303357_YES.csv,1303357_YES
1770949080,2026-02-13 02:18:00,1,108.6,0.3258,0.0029999999999723755,0.3258,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.1841413749731758,-0.9984887760604413,-0.9825701179308071,0.0,0.0,0.0,0.0,-2.165200268964424,0.0,0.0,-2.165200268964424,False,1303357_YES.csv,1303357_YES
1770949140,2026-02-13 02:19:00,1,115.4,0.3462,0.0029999999999740035,0.3462,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.1841413749731758,-0.9655428244271653,-0.9501488661975229,0.0,0.0,0.0,0.0,-2.099833065597864,0.0,0.0,-2.099833065597864,False,1303357_YES.csv,1303357_YES
